inflated	color	size	act	age
discrete	discrete	discrete	discrete	discrete
class			
T	YELLOW	SMALL	STRETCH	ADULT
T	YELLOW	SMALL	STRETCH	ADULT
F	YELLOW	SMALL	STRETCH	CHILD
F	YELLOW	SMALL	DIP	ADULT
F	YELLOW	SMALL	DIP	CHILD
T	YELLOW	LARGE	STRETCH	ADULT
T	YELLOW	LARGE	STRETCH	ADULT
F	YELLOW	LARGE	STRETCH	CHILD
F	YELLOW	LARGE	DIP	ADULT
F	YELLOW	LARGE	DIP	CHILD
T	PURPLE	SMALL	STRETCH	ADULT
T	PURPLE	SMALL	STRETCH	ADULT
F	PURPLE	SMALL	STRETCH	CHILD
F	PURPLE	SMALL	DIP	ADULT
F	PURPLE	SMALL	DIP	CHILD
T	PURPLE	LARGE	STRETCH	ADULT
T	PURPLE	LARGE	STRETCH	ADULT
F	PURPLE	LARGE	STRETCH	CHILD
F	PURPLE	LARGE	DIP	ADULT
F	PURPLE	LARGE	DIP	CHILD
